NS_code,Nation_State,TARG_HPI_trend_coeff,TARG_HPI_mean,CWGI_Gov_Effect_trend_coeff,CWGI_Gov_Effect_mean,CWGI_Poli_Stable_trend_coeff,CWGI_Poli_Stabl_mean,CWGI_Reg_Quality_trend_coeff,CWGI_Reg_Quality_mean,CWGI_Rule_of_Law_trend_coeff,CWGI_Rule_of_Law_mean,EW_Banks_per_cap_trend_coeff,EW_Banks_per_cap_mean,EW_Firms_Fem_trend_coeff,EW_Firms_Fem_mean,EW_GINI_trend_coeff,EW_GINI_mean,EW_Startup_Time_trend_coeff,EW_Startup_Time_mean,PTI_CPI_trend_coeff,PTI_CPI_mean,PW_Women_Legis_coeff,PW_Women_Legis_mean,PWGI_Corruption_Ctrl_coeff,PWGI_Corruption_Ctrl_mean,PWGI_Voice_Acct_coeff,PWGI_Voice_Acct_mean
JAM,Jamaica,0.041508851,1.539856663,-0.000946735,0.144695309,-0.002081215,-0.035103559,-0.001763356,0.248582899,0.00170869,-0.41981653,-0.021656273,6.731268071,0,24.1,0.08300835,43.55951805,-0.653929657,23.5,0.01102255,0.151954884,0.283816529,9.505307489,-0.005494132,-0.299599501,-0.001173261,0.552405569
JPN,Japan,0.040714421,0.20087512,0.019731254,1.194875853,-0.003565229,1.068947384,0.012563346,0.838490431,0.003563009,1.343572155,-0.01635856,34.41517576,,,0,32.1,-0.006372123,11.54166667,-0.002522153,-0.194997695,0.240467733,4.952239522,0.014920217,1.206327489,-0.000757219,1.027976161
JOR,Jordan,0.093831299,0.745141729,-0.000115177,0.117900153,-0.009769467,-0.262741042,0.00451928,0.111127809,0.003932272,0.323755824,-0.065394263,17.53599708,0,2.4,-0.081552876,36.24381564,-1.83771168,57.66666667,-0.004448461,-0.413761431,0.323494355,3.624583333,0.008978067,0.003999815,-0.01721041,-0.393217733
KAZ,Kazakhstan,-0.064779311,-0.66702605,0.023704354,-0.775147687,0.019229665,-0.213265918,-0.001843726,-0.326580396,0.015476164,-1.003385464,-0.017264092,3.550065192,-0.105292631,23.67304073,-0.196206107,33.24375,-0.406752063,27.95833333,-0.017041209,-0.000255148,0.231100738,15.39583333,0.007523147,-1.017851408,-0.003633429,-1.039440705
KEN,Kenya,0.040587945,-0.621617416,-0.003456468,-0.409522147,-0.016027849,-0.961259186,0.003135672,-0.323160388,0.010147793,-0.933767579,0.05640183,3.284558875,0.044382307,13.79161304,-0.452377507,49.94975912,-0.77795267,51.5625,0.053208324,-0.364116573,0.407238627,5.864135706,0.002101478,-0.996609039,0.012801582,-0.533511752
KOR,South Korea,-0.01349986,-0.01141646,0.014887453,0.807572817,-0.007695161,0.415292603,0.014866424,0.650910544,0.006198173,0.829848729,0.007536521,16.95884575,,,0.000751436,31.71978739,-0.178897091,15.20833333,-0.001946686,-0.643022813,0.389279871,6.888942038,0.006131268,0.3441516,0.001718836,0.64059329
KWT,Kuwait,-0.047753786,-1.473112994,-0.005127179,0.065651548,0.003051128,0.192885163,-0.001162697,0.063993796,-0.008343702,0.517603536,0.058050054,13.50699309,,,,,-0.008575771,35.31666667,-0.016583869,1.408197941,0.104697134,1.217083333,-0.0182231,0.551512555,-0.011350699,-0.334138184
KGZ,Kyrgyzstan,-0.033462691,0.860465259,-0.010836146,-0.53769478,-0.016513683,-0.549005855,-0.003313088,-0.302127227,-0.008786716,-0.878867477,0.062301137,5.787546305,0.105292631,24.02695927,-0.525271385,39.38333333,-0.21819366,18.79166667,0.080842487,-0.925197965,0.525824468,7.724375,-0.019228589,-0.725688766,0.002989864,-0.811172186
LAO,Laos,0.067240533,0.622885892,-0.000135462,-0.710882794,-0.004837419,0.069331746,0.008462641,-1.187114231,0.004342892,-0.93850249,0.011494195,2.459057258,0.151784301,33.58670719,0.044443468,34.73753765,-0.181936604,130.7083333,0.027057881,-1.113524464,0.58913458,15.6951021,-0.015284431,-0.701546264,-0.020947757,-1.230149868
LVA,Latvia,-0.013043864,-0.977600153,0.018485578,0.413460705,0.002775118,0.467024899,0.002139587,0.993332462,0.022005599,0.308459578,-0.206532981,29.82421029,0.00363078,31.33541239,0.254832885,31.10010267,-0.140143291,14.70833333,0.000830355,-0.861108178,0.347101607,13.77083333,0.032636,-0.364845125,0.004867259,0.698334747
LBN,Lebanon,-0.044793822,-0.299879109,-0.008522407,-0.167557027,-0.024556271,-1.028690608,0.00813008,-0.323037898,-0.012699631,-0.386861487,-0.07396982,25.33739788,-0.448401376,24.72656999,0,31.8,-0.886940947,43.5625,-0.005231971,-0.500622877,0.108007783,1.695587521,-0.013093451,-0.602965082,-0.003989314,-0.354888052
LSO,Lesotho,0.031146566,-1.496724096,-0.007933109,-0.232481286,-0.005256744,0.043354056,-0.004082007,-0.435571267,-0.006566637,-0.075666411,0.024487012,2.715368448,0.224263073,23.72916667,-0.079205002,55.9604295,-2.72204733,107.8541667,-0.003084568,-0.885320171,0.520172601,10.60166667,0.01713326,-0.244633878,0.016748987,-0.325204372
